Vehicle_ID,Frame_ID,Local_X,Local_Y,v_Vel
580,2866,-0.425971,-9.89111,7.1366
580,2867,-0.435127,-9.88689,7.12975
580,2868,-0.443364,-9.88238,7.1071
580,2869,-0.443364,-9.88238,7.1071
580,2870,-0.450743,-9.87792,7.0742
580,2871,-0.457418,-9.87381,7.03359
580,2872,-0.463324,-9.87034,6.98761
580,2873,-0.463324,-9.87034,6.98761
580,2874,-0.468371,-9.86778,6.93832
580,2875,-0.472576,-9.86646,6.88776
580,2876,-0.475764,-9.86662,6.83774
580,2877,-0.478092,-9.86853,6.78959
580,2878,-0.478092,-9.86853,6.78959
580,2879,-0.479109,-9.87247,6.74175
580,2880,-0.479113,-9.87864,6.69429
580,2881,-0.479113,-9.87864,6.69429
580,2882,-0.476402,-9.89804,6.6083
580,2883,-0.474296,-9.91097,6.57329
580,2884,-0.471559,-9.92572,6.54595
580,2885,-0.468432,-9.94193,6.52825
580,2886,-0.465135,-9.95908,6.52164
580,2887,-0.465135,-9.95908,6.52164
580,2888,-0.462004,-9.97662,6.52585
580,2889,-0.459203,-9.99409,6.54044
787,334,-24.7382,10.5085,6.96379
787,335,-24.5943,10.2747,6.94142
787,336,-24.4532,10.0356,6.91831
787,337,-24.1793,9.54281,6.86968
787,338,-24.0457,9.29135,6.84412
787,339,-24.0457,9.29135,6.84412
787,340,-23.7862,8.77587,6.79067
787,341,-23.5244,8.51444,6.73459
787,342,-23.4061,7.99594,6.70582
787,343,-23.2787,7.74268,6.67672
787,344,-23.0202,7.25371,6.61802
787,345,-22.8903,7.01542,6.58867
787,346,-22.7605,6.77954,6.55947
787,347,-22.6306,6.54622,6.53053
787,348,-22.3706,6.08676,6.47379
787,349,-22.2406,5.86016,6.44613
787,350,-22.1106,5.63469,6.41902
787,351,-21.8497,5.19089,6.36654
787,352,-21.7194,4.97015,6.34119
787,353,-21.5896,4.7481,6.31641
787,354,-21.3304,4.3042,6.26844
787,355,-21.2018,4.07956,6.24515
787,356,-21.0742,3.85118,6.22225
787,357,-20.9476,3.62031,6.19965
787,358,-20.6973,3.14959,6.15513
787,359,-20.6973,3.14959,6.15513
787,360,-20.4516,2.66602,6.111
787,361,-20.3301,2.42081,6.08892
787,362,-20.2097,2.17204,6.06677
787,363,-20.0901,1.92036,6.04448
787,364,-19.9712,1.66721,6.02203
787,365,-19.7346,1.1602,5.97657
787,366,-19.6169,0.906646,5.95354
787,367,-19.4993,0.655033,5.93032
787,368,-19.2644,0.161331,5.88338
787,369,-19.1472,-0.0810244,5.85972
787,370,-18.9137,-0.554573,5.81217
787,371,-18.7975,-0.786109,5.78837
787,372,-18.5667,-1.24157,5.74091
787,373,-18.4522,-1.4671,5.71734
787,374,-18.2254,-1.91133,5.67069
787,375,-18.1132,-2.13262,5.64767
787,376,-18.0018,-2.35564,5.62488
787,377,-17.7812,-2.80396,5.58006
787,378,-17.6719,-3.03162,5.55803
787,379,-17.6719,-3.03162,5.55803
787,380,-17.3452,-3.73825,5.49347
787,381,-17.2366,-3.97836,5.4724
787,382,-17.1281,-4.22061,5.45153
787,383,-16.9105,-4.71109,5.41028
787,384,-16.8015,-4.95799,5.38984
787,385,-16.6925,-5.20495,5.3695
787,386,-16.4747,-5.69616,5.32898
787,387,-16.3654,-5.94253,5.30875
787,388,-16.2553,-6.19009,5.28853
787,389,-16.145,-6.43741,5.2683
787,390,-15.9216,-6.92866,5.22775
787,391,-15.8127,-7.17033,5.20743
787,392,-15.705,-7.4102,5.18708
787,393,-15.4925,-7.88402,5.14631
787,394,-15.3896,-8.11488,5.12592
787,395,-15.1971,-8.56049,5.08518
787,396,-15.1032,-8.7788,5.06487
787,397,-15.0161,-8.98684,5.04461
787,398,-14.8879,-9.33126,5.00436
787,399,-14.8879,-9.33126,5.00436
787,400,-14.7693,-9.74027,5.14319
787,401,-14.7399,-9.87128,5.09306
1169,364,-24.9423,12.7845,6.96379
1169,365,-24.8071,12.547,6.94142
1169,366,-24.6707,12.3133,6.91831
1169,367,-24.3942,11.8552,6.86968
1169,368,-24.2547,11.6295,6.84412
1169,369,-24.1149,11.4049,6.81776
1169,370,-23.975,11.1803,6.79067
1169,371,-23.8355,10.9546,6.76291
1169,372,-23.5567,10.502,6.70582
1169,373,-23.4154,10.2789,6.67672
1169,374,-23.274,10.0558,6.64741
1169,375,-23.1334,9.83089,6.61802
